sn,id,name,domain_name
1,0001,國立政治大學,nccu.edu.tw
2,0002,國立清華大學,nthu.edu.tw
3,0003,國立臺灣大學,ntu.edu.tw
4,0004,國立臺灣師範大學,ntnu.edu.tw
5,0005,國立成功大學,ncku.edu.tw
6,0006,國立中興大學,nchu.edu.tw
7,0007,國立陽明交通大學,nycu.edu.tw
8,0008,國立中央大學,ncu.edu.tw
9,0009,國立中山大學,nsysu.edu.tw
10,0012,國立臺灣海洋大學,ntou.edu.tw
11,0013,國立中正大學,ccu.edu.tw
12,0014,國立高雄師範大學,nknu.edu.tw
13,0015,國立彰化師範大學,ncue.edu.tw
14,0016,國立陽明大學,ym.edu.tw
15,0017,國立臺北大學,ntpu.edu.tw
16,0018,國立嘉義大學,ncyu.edu.tw
17,0019,國立高雄大學,nuk.edu.tw
18,0020,國立東華大學,ndhu.edu.tw
19,0021,國立暨南國際大學,ncnu.edu.tw
20,0022,國立臺灣科技大學,ntust.edu.tw
21,0023,國立雲林科技大學,yuntech.edu.tw
22,0024,國立屏東科技大學,npust.edu.tw
23,0025,國立臺北科技大學,ntut.edu.tw
24,0028,國立臺北藝術大學,tnua.edu.tw
25,0029,國立臺灣藝術大學,ntua.edu.tw
26,0030,國立臺東大學,nttu.edu.tw
27,0031,國立宜蘭大學,niu.edu.tw
28,0032,國立聯合大學,nuu.edu.tw
29,0033,國立虎尾科技大學,nfu.edu.tw
30,0035,國立臺南藝術大學,tnnua.edu.tw
31,0036,國立臺南大學,nutn.edu.tw
32,0037,國立臺北教育大學,ntue.edu.tw
33,0039,國立臺中教育大學,ntcu.edu.tw
34,0042,國立澎湖科技大學,npu.edu.tw
35,0043,國立勤益科技大學,ncut.edu.tw
36,0044,國立體育大學,ntsu.edu.tw
37,0046,國立臺北護理健康大學,ntunhs.edu.tw
38,0047,國立高雄餐旅大學,nkuht.edu.tw
39,0048,國立金門大學,nqu.edu.tw
40,0049,國立臺灣體育運動大學,ntus.edu.tw
41,0050,國立臺中科技大學,nutc.edu.tw
42,0051,國立臺北商業大學,ntub.edu.tw
43,0052,國立屏東大學,nptu.edu.tw
44,0053,國立高雄科技大學,nkust.edu.tw
45,030305,國立中央大學附屬中壢高中,clhs.tyc.edu.tw
46,030403,國立北科大附屬桃園農工,tyai.tyc.edu.tw
47,060322,國立興大附中,dali.tc.edu.tw
48,070401,國立彰師附工,sivs.chc.edu.tw
49,080308,國立暨大附中,pshs.ntct.edu.tw
50,0A01,國立空中大學,nou.edu.tw
51,1001,東海大學,thu.edu.tw
52,1002,輔仁大學,fju.edu.tw
53,1003,東吳大學,scu.edu.tw
54,1004,中原大學,cycu.edu.tw
55,1005,淡江大學,tku.edu.tw
56,1006,中國文化大學,pccu.edu.tw
57,1007,逢甲大學,fcu.edu.tw
58,1008,靜宜大學,pu.edu.tw
59,1009,長庚大學,cgu.edu.tw
60,1010,元智大學,yzu.edu.tw
61,1011,中華大學,chu.edu.tw
62,1012,大葉大學,dyu.edu.tw
63,1013,華梵大學,hfu.edu.tw
64,1014,義守大學,isu.edu.tw
65,1015,世新大學,shu.edu.tw
66,1016,銘傳大學,mcu.edu.tw
67,1017,實踐大學,usc.edu.tw
68,1018,朝陽科技大學,cyut.edu.tw
69,1019,高雄醫學大學,kmu.edu.tw
70,1020,南華大學,nhu.edu.tw
71,1021,真理大學,au.edu.tw
72,1022,大同大學,ttu.edu.tw
73,1023,南臺科技大學,stust.edu.tw
74,1024,崑山科技大學,ksu.edu.tw
75,1025,嘉南藥理大學,cnu.edu.tw
76,1026,樹德科技大學,stu.edu.tw
77,1027,慈濟大學,tcu.edu.tw
78,1028,臺北醫學大學,tmu.edu.tw
79,1029,中山醫學大學,csmu.edu.tw
80,1030,龍華科技大學,lhu.edu.tw
81,1031,輔英科技大學,fy.edu.tw
82,1032,明新科技大學,must.edu.tw
83,1033,長榮大學,cjcu.edu.tw
84,1034,弘光科技大學,hk.edu.tw
85,1035,中國醫藥大學,cmu.edu.tw
86,1036,健行科技大學,uch.edu.tw
87,1037,正修科技大學,csu.edu.tw
88,1038,萬能科技大學,vnu.edu.tw
89,1039,玄奘大學,hcu.edu.tw
90,1040,建國科技大學,ctu.edu.tw
91,1041,明志科技大學,mcut.edu.tw
92,1042,高苑科技大學,kyu.edu.tw
93,1043,大仁科技大學,tajen.edu.tw
94,1044,聖約翰科技大學,sju.edu.tw
95,1045,嶺東科技大學,ltu.edu.tw
96,1046,中國科技大學,cute.edu.tw
97,1047,中臺科技大學,ctust.edu.tw
98,1048,亞洲大學,asia.edu.tw
99,1049,開南大學,knu.edu.tw
100,1050,佛光大學,fgu.edu.tw
101,1051,台南應用科技大學,tut.edu.tw
102,1052,遠東科技大學,feu.edu.tw
103,1053,元培醫事科技大學,ypu.edu.tw
104,1054,景文科技大學,just.edu.tw
105,1055,中華醫事科技大學,hwai.edu.tw
106,1056,東南科技大學,tnu.edu.tw
107,1057,德明財經科技大學,takming.edu.tw
108,1058,明道大學,mdu.edu.tw
109,1060,南開科技大學,nkut.edu.tw
110,1061,中華科技大學,cust.edu.tw
111,1062,僑光科技大學,ocu.edu.tw
112,1063,育達科技大學,ydu.edu.tw
113,1064,美和科技大學,meiho.edu.tw
114,1065,吳鳳科技大學,wfu.edu.tw
115,1066,環球科技大學,twu.edu.tw
116,1067,台灣首府大學,tsu.edu.tw
117,1068,中州科技大學,ccut.edu.tw
118,1069,修平科技大學,hust.edu.tw
119,1070,長庚科技大學,cgust.edu.tw
120,1071,臺北城市科技大學,tpcu.edu.tw
121,1072,敏實科技大學,mitust.edu.tw
122,1073,醒吾科技大學,hwu.edu.tw
123,1075,文藻外語大學,wzu.edu.tw
124,1076,華夏科技大學,hwh.edu.tw
125,1077,慈濟科技大學,tcust.edu.tw
126,1078,致理科技大學,chihlee.edu.tw
127,1079,康寧大學,ukn.edu.tw
128,1080,宏國德霖科技大學,hdut.edu.tw
129,1081,東方設計大學,tf.edu.tw
130,1082,崇右影藝科技大學,cufa.edu.tw
131,1083,台北海洋科技大學,tumt.edu.tw
132,110308,國立臺南大學附中,tntcsh.tn.edu.tw
133,110F01,國立臺南大學附屬啟聰學校,tndsh.tn.edu.tw
134,140301,國立臺東大學附屬體育高中,ntpehs.ttct.edu.tw
135,140601,國立臺東大學附設實驗國民小學,nttues.nttu.edu.tw
136,140F01,國立臺東大學附屬特殊教育學校,nttusps.nttu.edu.tw
137,150601,國立東華大學附設實小,efs.hlc.edu.tw
138,151312,財團法人慈濟大學附中,tcsh.hlc.edu.tw
139,180601,國立清華大學附小,sctcps.hc.edu.tw
140,190406,國立興大附農,tcavs.tc.edu.tw
141,190601,國立臺中教育大學附設實驗國小,ntctcps.tc.edu.tw
142,191301,私立東大附中,hn.thu.edu.tw
143,200601,國立嘉義大學附小,ncyes.ncyu.edu.tw
144,210601,國立臺南大學附小,ps.nutn.edu.tw
145,3002,臺北市立大學,uTaipei.edu.tw
146,330301,國立師大附中,hs.ntnu.edu.tw
147,353608,臺北市立大學附小,esut.tp.edu.tw
148,380301,國立政大附中,ahs.nccu.edu.tw
149,3A01,高雄市立空中大學,ouk.edu.tw
150,540301,國立中山大學附屬國光高級中學,kksh.nsysu.edu.tw
151,580301,國立高師大附中,nknush.kh.edu.tw
152,610405,國立高餐大附屬餐旅中學,kmhjh.kh.edu.tw
153,M001,中華民國陸軍官校,cma.edu.tw
154,M002,中華民國海軍官校,www.cna.edu.tw
155,M003,中華民國空軍官校,www.cafa.edu.tw
156,M066,中央警察大學,cpu.edu.tw
157,0144,國立臺灣戲曲學院,tcpa.edu.tw
158,1125,中信金融管理學院,ctbc.edu.tw
159,1148,大漢技術學院,dahan.edu.tw
160,1159,和春技術學院,fotech.edu.tw
161,1166,亞東科技大學,aeust.edu.tw
162,1168,南亞技術學院,nanya.edu.tw
163,1176,稻江科技暨管理學院,toko.edu.tw
164,1182,蘭陽技術學院,fit.edu.tw
165,1183,黎明技術學院,lit.edu.tw
166,1185,德育護理健康學院,dyhu.edu.tw
167,1188,大同技術學院,ttc.edu.tw
168,1192,臺灣觀光學院,mail.cit.edu.tw
169,1195,馬偕醫學院,mmc.edu.tw
170,1196,法鼓文理學院,dila.edu.tw
171,1R02,基督教台灣浸會神學院,tbts.edu.tw
172,1R03,臺北基督學院,cct.edu.tw
173,1R06,一貫道崇德學院,iktcds.edu.tw
174,M104,國防醫學院,ndmctsgh.edu.tw
175,M108,空軍航空技術學院,afats.khc.edu.tw
176,0221,國立臺南護理專科學校,ntin.edu.tw
177,0222,國立臺東專科學校,ntc.edu.tw
178,1282,馬偕醫護管理專科學校,mkc.edu.tw
179,1283,仁德醫護管理專科學校,jente.edu.tw
180,1284,樹人醫護管理專科學校,szmc.edu.tw
181,1285,慈惠醫護管理專科學校,tzuhui.edu.tw
182,1286,耕莘健康管理專科學校,ctcn.edu.tw
183,1287,敏惠醫護管理專科學校,mhchcm.edu.tw
184,1289,育英醫護管理專科學校,yuhing.edu.tw
185,1291,聖母醫護管理專科學校,smc.edu.tw
186,1292,新生醫護管理專科學校,web.hsc.edu.tw
187,1293,崇仁醫護管理專科學校,cjc.edu.tw
188,M209,陸軍專科學校,aaroc.edu.tw
189,M267,臺灣警察專科學校,tpa.edu.tw
190,010301,國立華僑高級中等學校,nocsh.ntpc.edu.tw
191,011301,私立淡江高中,tksh.ntpc.edu.tw
192,011302,私立康橋高中,kcbs.ntpc.edu.tw
193,011306,私立金陵女中,glghs.ntpc.edu.tw
194,011307,新北市裕德高級中等學校,yuteh.ntpc.edu.tw
195,011309,財團法人南山高中,nssh.ntpc.edu.tw
196,011310,財團法人恆毅高中,hchs.ntpc.edu.tw
197,011311,私立聖心女中,shgsh.ntpc.edu.tw
198,011312,私立崇義高中,tyhs.ntpc.edu.tw
199,011314,新北市福瑞斯特高中,chsh.ntpc.edu.tw
200,011315,私立東海高中,thhs.ntpc.edu.tw
201,011316,私立格致高中,gjsh.ntpc.edu.tw
202,011317,私立醒吾高中,swsh.ntpc.edu.tw
203,011318,私立徐匯高中,sish.ntpc.edu.tw
204,011322,新北市崇光高中,ckgsh.ntpc.edu.tw
205,011323,私立光仁高中,kjsh.ntpc.edu.tw
206,011324,私立竹林高中,clsh.ntpc.edu.tw
207,011325,私立及人高中,cjsh.ntpc.edu.tw
208,011329,財團法人辭修高中,tsshs.ntpc.edu.tw
209,011330,新北市林口康橋國際高中,kcislk.ntpc.edu.tw
210,011399,私立時雨高中,syjh.ntpc.edu.tw
211,013303,市立泰山高中,tssh.ntpc.edu.tw
212,013304,市立板橋高中,pcsh.ntpc.edu.tw
213,013335,市立新店高中,htsh.ntpc.edu.tw
214,013336,市立中和高中,chshs.ntpc.edu.tw
215,013337,市立新莊高中,hcsh.ntpc.edu.tw
216,013338,市立新北高中,ntsh.ntpc.edu.tw
217,013339,市立林口高中,lksh.ntpc.edu.tw
218,014302,市立海山高中,hshs.ntpc.edu.tw
219,014311,市立三重高中,schs.ntpc.edu.tw
220,014315,市立永平高中,yphs.ntpc.edu.tw
221,014322,市立樹林高中,slsh.ntpc.edu.tw
222,014326,市立明德高中,mdhs.ntpc.edu.tw
223,014332,市立秀峰高中,sfhs.ntpc.edu.tw
224,014338,市立金山高中,cshs.ntpc.edu.tw
225,014343,市立安康高中,akhs.ntpc.edu.tw
226,014347,市立雙溪高中,sxhs.ntpc.edu.tw
227,014348,市立石碇高中,sdhs.ntpc.edu.tw
228,014353,市立丹鳳高中,dfsh.ntpc.edu.tw
229,014356,市立清水高中,cssh.ntpc.edu.tw
230,014357,市立三民高中,smsh.ntpc.edu.tw
231,014362,市立錦和高中,jhsh.ntpc.edu.tw
232,014363,市立光復高中,gfhs.ntpc.edu.tw
233,014364,市立竹圍高中,zwhs.ntpc.edu.tw
234,014381,市立北大高級中學,bdsh.ntpc.edu.tw
235,014399,市立豐珠中學,fjjh.ntpc.edu.tw
236,020301,國立蘭陽女中,lygsh.ilc.edu.tw
237,020302,國立宜蘭高中,ylsh.ilc.edu.tw
238,020308,國立羅東高中,ldsh.ilc.edu.tw
239,021301,私立慧燈高中,hdsh.ilc.edu.tw
240,021310,私立中道高中,cdsh.ilc.edu.tw
241,024322,縣立南澳高中,nojh.ilc.edu.tw
242,024325,縣立慈心華德福實中,waldorf.ilc.edu.tw
243,031301,私立漢英高中,hhs.tyc.edu.tw
244,031309,桃園市育達高中,yuda.tyc.edu.tw
245,031310,私立六和高中,lhvs.tyc.edu.tw
246,031311,桃園市復旦高中,fdhs.tyc.edu.tw
247,031312,桃園市治平高中,cpshs.tyc.edu.tw
248,031313,桃園市振聲高中,fxsh.tyc.edu.tw
249,031317,私立光啟高中,phsh.tyc.edu.tw
250,031318,桃園市啟英高中,cyvs.tyc.edu.tw
251,031319,桃園市清華高中,chvs.tyc.edu.tw
252,031320,桃園市新興高中,hshs.tyc.edu.tw
253,031323,私立至善高中,tzsavs.tyc.edu.tw
254,031324,桃園市大興高中,dxhs.tyc.edu.tw
255,031326,私立大華高中,thsh.tyc.edu.tw
256,033302,市立龍潭高中,ltsh.tyc.edu.tw
257,033304,市立桃園高中,tysh.tyc.edu.tw
258,033306,市立武陵高中,wlsh.tyc.edu.tw
259,033316,市立楊梅高中,ymhs.tyc.edu.tw
260,033325,市立陽明高中,pymhs.tyc.edu.tw
261,033327,市立內壢高中,nlhs.tyc.edu.tw
262,034306,市立南崁高中,nkjh.tyc.edu.tw
